"","GEO.Summary","Operating.Airline"
"4514","International","Philippine Airlines"
"4515","International","Qantas Airways"
"4516","International","Qantas Airways"
"4517","International","Singapore Airlines"
"4518","International","Singapore Airlines"
"4519","Domestic","SkyWest Airlines"
"4520","Domestic","SkyWest Airlines"
"4521","Domestic","SkyWest Airlines"
"4522","Domestic","SkyWest Airlines"
"4523","International","SkyWest Airlines"
"4524","International","SkyWest Airlines"
"4525","International","SkyWest Airlines"
"4526","Domestic","Southwest Airlines"
"4527","Domestic","Southwest Airlines"
"4528","Domestic","Southwest Airlines"
"4529","Domestic","Sun Country Airlines"
"4530","Domestic","Sun Country Airlines"
"4531","International","TACA"
"4532","International","TACA"
"4533","Domestic","US Airways"
"4534","Domestic","US Airways"
"4535","Domestic","United Airlines"
"4536","Domestic","United Airlines"
"4537","Domestic","United Airlines - Pre 07/01/2013"
"4538","Domestic","United Airlines - Pre 07/01/2013"
"4539","Domestic","United Airlines - Pre 07/01/2013"
"4540","Domestic","United Airlines - Pre 07/01/2013"
"4541","Domestic","United Airlines - Pre 07/01/2013"
"4542","Domestic","United Airlines - Pre 07/01/2013"
"4543","Domestic","United Airlines - Pre 07/01/2013"
"4544","Domestic","United Airlines - Pre 07/01/2013"
"4545","Domestic","United Airlines - Pre 07/01/2013"
"4546","Domestic","United Airlines - Pre 07/01/2013"
"4547","International","United Airlines - Pre 07/01/2013"
"4548","International","United Airlines - Pre 07/01/2013"
"4549","International","United Airlines - Pre 07/01/2013"
"4550","International","United Airlines - Pre 07/01/2013"
"4551","International","United Airlines - Pre 07/01/2013"
"4552","International","United Airlines - Pre 07/01/2013"
"4553","International","United Airlines - Pre 07/01/2013"
"4554","International","United Airlines - Pre 07/01/2013"
"4555","International","United Airlines - Pre 07/01/2013"
"4556","International","United Airlines - Pre 07/01/2013"
"4557","International","United Airlines - Pre 07/01/2013"
"4558","International","United Airlines - Pre 07/01/2013"
"4559","International","United Airlines - Pre 07/01/2013"
"4560","International","United Airlines - Pre 07/01/2013"
"4561","Domestic","Virgin America"
"4562","Domestic","Virgin America"
"4563","International","Virgin Atlantic"
"4564","International","Virgin Atlantic"
"4565","International","Aer Lingus"
"4566","International","Aer Lingus"
"4567","International","Air Canada "
"4568","International","Air Canada "
"4569","International","Air China"
"4570","International","Air China"
"4571","International","Air France"
"4572","International","Air France"
"4573","International","Air New Zealand"
"4574","International","Air New Zealand"
"4575","Domestic","AirTran Airways"
"4576","Domestic","AirTran Airways"
"4577","Domestic","Alaska Airlines"
"4578","Domestic","Alaska Airlines"
"4579","International","Alaska Airlines"
"4580","International","Alaska Airlines"
"4581","International","All Nippon Airways"
"4582","International","All Nippon Airways"
"4583","Domestic","Allegiant Air"
"4584","Domestic","Allegiant Air"
"4585","Domestic","American Airlines"
"4586","Domestic","American Airlines"
"4587","Domestic","American Eagle Airlines"
"4588","Domestic","American Eagle Airlines"
"4589","International","Asiana Airlines"
"4590","International","Asiana Airlines"
"4591","International","British Airways"
"4592","International","British Airways"
"4593","International","Cathay Pacific"
"4594","International","Cathay Pacific"
"4595","International","China Airlines"
"4596","International","China Airlines"
"4597","Domestic","Delta Air Lines"
"4598","Domestic","Delta Air Lines"
"4599","International","EVA Airways"
"4600","International","EVA Airways"
"4601","Domestic","Frontier Airlines"
"4602","Domestic","Frontier Airlines"
"4603","Domestic","Hawaiian Airlines"
"4604","Domestic","Hawaiian Airlines"
"4605","Domestic","Horizon Air "
"4606","Domestic","Horizon Air "
"4607","International","Japan Airlines"
"4608","International","Japan Airlines"
"4609","International","Jet Airways"
"4610","International","Jet Airways"
"4611","Domestic","JetBlue Airways "
"4612","Domestic","JetBlue Airways "
"4613","International","KLM Royal Dutch Airlines"
"4614","International","KLM Royal Dutch Airlines"
"4615","International","Korean Air Lines"
"4616","International","Korean Air Lines"
"4617","International","Lufthansa German Airlines"
"4618","International","Lufthansa German Airlines"
"4619","International","Mexicana Airlines"
"4620","International","Mexicana Airlines"
"4621","Domestic","Midwest Airlines"
"4622","Domestic","Midwest Airlines"
"4623","Domestic","Northwest Airlines"
"4624","Domestic","Northwest Airlines"
"4625","Domestic","Northwest Airlines"
"4626","International","Northwest Airlines"
"4627","International","Northwest Airlines"
"4628","International","Philippine Airlines"
"4629","International","Philippine Airlines"
"4630","International","Qantas Airways"
"4631","International","Qantas Airways"
"4632","International","Singapore Airlines"
"4633","International","Singapore Airlines"
"4634","Domestic","SkyWest Airlines"
"4635","Domestic","SkyWest Airlines"
"4636","Domestic","SkyWest Airlines"
"4637","Domestic","SkyWest Airlines"
"4638","International","SkyWest Airlines"
"4639","International","SkyWest Airlines"
"4640","International","SkyWest Airlines"
"4641","Domestic","Southwest Airlines"
"4642","Domestic","Southwest Airlines"
"4643","Domestic","Southwest Airlines"
"4644","International","TACA"
"4645","International","TACA"
"4646","Domestic","US Airways"
"4647","Domestic","US Airways"
"4648","Domestic","United Airlines"
"4649","Domestic","United Airlines"
"4650","Domestic","United Airlines - Pre 07/01/2013"
"4651","Domestic","United Airlines - Pre 07/01/2013"
"4652","Domestic","United Airlines - Pre 07/01/2013"
"4653","Domestic","United Airlines - Pre 07/01/2013"
"4654","Domestic","United Airlines - Pre 07/01/2013"
"4655","Domestic","United Airlines - Pre 07/01/2013"
"4656","Domestic","United Airlines - Pre 07/01/2013"
"4657","Domestic","United Airlines - Pre 07/01/2013"
"4658","Domestic","United Airlines - Pre 07/01/2013"
"4659","Domestic","United Airlines - Pre 07/01/2013"
"4660","International","United Airlines - Pre 07/01/2013"
"4661","International","United Airlines - Pre 07/01/2013"
"4662","International","United Airlines - Pre 07/01/2013"
"4663","International","United Airlines - Pre 07/01/2013"
"4664","International","United Airlines - Pre 07/01/2013"
"4665","International","United Airlines - Pre 07/01/2013"
"4666","International","United Airlines - Pre 07/01/2013"
"4667","International","United Airlines - Pre 07/01/2013"
"4668","International","United Airlines - Pre 07/01/2013"
"4669","International","United Airlines - Pre 07/01/2013"
"4670","International","United Airlines - Pre 07/01/2013"
"4671","International","United Airlines - Pre 07/01/2013"
"4672","International","United Airlines - Pre 07/01/2013"
"4673","International","United Airlines - Pre 07/01/2013"
"4674","Domestic","Virgin America"
"4675","Domestic","Virgin America"
"4676","International","Virgin Atlantic"
"4677","International","Virgin Atlantic"
"4678","International","Aer Lingus"
"4679","International","Aer Lingus"
"4680","International","Air Canada "
"4681","International","Air Canada "
"4682","International","Air China"
"4683","International","Air China"
"4684","International","Air France"
"4685","International","Air France"
"4686","International","Air New Zealand"
"4687","International","Air New Zealand"
"4688","Domestic","AirTran Airways"
"4689","Domestic","AirTran Airways"
"4690","Domestic","Alaska Airlines"
"4691","Domestic","Alaska Airlines"
"4692","International","Alaska Airlines"
"4693","International","Alaska Airlines"
"4694","International","All Nippon Airways"
"4695","International","All Nippon Airways"
"4696","Domestic","Allegiant Air"
"4697","Domestic","Allegiant Air"
"4698","Domestic","American Airlines"
"4699","Domestic","American Airlines"
"4700","Domestic","American Eagle Airlines"
"4701","Domestic","American Eagle Airlines"
"4702","International","Asiana Airlines"
